var,ks,FDR,rank_ks,rank_FDR,average_rank
ssn-name_lag1_lag7_avg,0.12364399514258059,0.07362683438155136,173.0,182.0,177.5
ssn-name-dob_lag1_lag7_avg,0.1237791922179096,0.07341719077568135,174.0,179.0,176.5
name_lag1_lag7_avg,0.12134984892196975,0.07174004192872117,172.0,176.0,174.0
addr-homephone_lag0_count,0.11596307154778274,0.06930817610062893,169.0,175.0,172.0
name_lag0_count,0.10714596590709358,0.0650733752620545,168.0,173.0,170.5
ssn_lag0_count,0.10709290590090792,0.0649895178197065,167.0,172.0,169.5
name_lag1_lag14_avg,0.14151637441138187,0.053668763102725364,183.0,154.0,168.5
ssn-firstname_lag0_count,0.10703902739533444,0.0649475890985325,166.0,171.0,168.5
name-dob_lag0_count,0.10699280673714029,0.0649056603773585,164.5,168.5,166.5
ssn-dob_lag0_count,0.10699280673714029,0.0649056603773585,164.5,168.5,166.5
ssn-name_lag0_count,0.10695324119234828,0.0649056603773585,163.0,168.5,165.75
ssn-lastname_lag0_count,0.10695196488445169,0.0649056603773585,162.0,168.5,165.25
ssn-name-dob_lag0_count,0.10690957314994698,0.06486373165618449,161.0,166.0,163.5
dob_lag0_count,0.10219646721930065,0.060167714884696015,159.0,165.0,162.0
addr-homephone_lag1_lag3_avg,0.09140023139286596,0.05781970649895178,155.0,164.0,159.5
name-dob_lag1_lag3_avg,0.08913223003838393,0.057232704402515724,154.0,162.0,158.0
ssn_lag1_lag3_avg,0.0886785935872811,0.05706498951781971,153.0,161.0,157.0
ssn-firstname_lag1_lag3_avg,0.08861423104461592,0.0570230607966457,151.0,160.0,155.5
ssn-dob_lag1_lag3_avg,0.08862006543625918,0.056981132075471695,152.0,158.0,155.0
ssn-name_lag1_lag3_avg,0.08853482638111221,0.056981132075471695,150.0,158.0,154.0
ssn-lastname_lag1_lag3_avg,0.0885271685337331,0.056981132075471695,149.0,158.0,153.5
ssn-name-dob_lag1_lag3_avg,0.08845232195397615,0.05689727463312369,148.0,156.0,152.0
name_lag1_lag3_avg,0.08784590035802693,0.05647798742138365,147.0,155.0,151.0
dob-homephone_lag30_count,0.06556089688447153,0.0430188679245283,140.0,152.0,146.0
name-dob-addr_lag30_count,0.06732767326005817,0.0420125786163522,144.0,144.5,144.25
dob-addr_lag30_count,0.06731491018109304,0.041928721174004195,143.0,143.0,143.0
ssn-homephone_lag30_count,0.06492338053456848,0.04238993710691824,133.0,148.0,140.5
name-dob-homephone_lag30_count,0.06549297899203643,0.04163522012578617,139.0,140.0,139.5
name-homephone_lag30_count,0.0657978345670861,0.04121593291404612,142.0,136.0,139.0
ssn-address_lag30_count,0.06526780165441015,0.04188679245283019,136.0,142.0,139.0
dob-homephone_lag1_lag30_avg,0.061037475242254766,0.04259958071278826,127.0,150.0,138.5
name-dob-homephone_lag1_lag30_avg,0.060965728426130156,0.0429769392033543,126.0,151.0,138.5
name-homephone_lag1_lag30_avg,0.06127186030907635,0.04226415094339623,129.0,147.0,138.0
dob-addr_lag1_lag30_avg,0.06278765961518665,0.04218029350104822,130.0,146.0,138.0
name-dob-addr_lag1_lag30_avg,0.06280042269415181,0.0420125786163522,131.0,144.5,137.75
name-addr_lag30_count,0.06770172303543942,0.04083857442348009,145.0,130.0,137.5
name-addr_lag1_lag30_avg,0.06309251519023633,0.04180293501048218,132.0,141.0,136.5
dob-addr-homephone_lag30_count,0.06532268289396037,0.041174004192872114,137.0,134.0,135.5
name-dob-addr-homephone_lag30_count,0.06532651181764992,0.04092243186582809,138.0,132.0,135.0
name-addr-homephone_lag30_count,0.06563392000849266,0.04050314465408805,141.0,129.0,135.0
ssn-homephone_lag1_lag30_avg,0.06048574509533799,0.04243186582809224,120.0,149.0,134.5
ssn-addr_lag30_count,0.06518329175932036,0.040880503144654086,135.0,131.0,133.0
name-dob-addr-homephone_lag1_lag30_avg,0.060799261251743626,0.04159329140461216,125.0,139.0,132.0
ssn-zip5_lag30_count,0.06517818652773433,0.040335429769392035,134.0,127.5,130.75
dob-addr-homephone_lag1_lag30_avg,0.06079543232805407,0.04121593291404612,124.0,136.0,130.0
ssn-addr_lag1_lag30_avg,0.060659870117103616,0.04129979035639413,122.0,138.0,130.0
ssn-address_lag1_lag30_avg,0.060745656320089915,0.04121593291404612,123.0,136.0,129.5
name-addr-homephone_lag1_lag30_avg,0.06110794575048286,0.040335429769392035,128.0,127.5,127.75
ssn-zip5_lag1_lag30_avg,0.06065476488551755,0.0409643605870021,121.0,133.0,127.0
dob-homephone_#days_since,0.05854244153673667,0.03958071278825996,118.0,126.0,122.0
ssn-homephone_#days_since,0.056908675867493166,0.03907756813417191,117.0,124.0,120.5
name-dob-addr_#days_since,0.05664393187388915,0.03920335429769392,114.0,125.0,119.5
dob-addr_#days_since,0.056785146464264996,0.03882599580712788,115.0,122.5,118.75
name-dob-homephone_#days_since,0.05678605763654006,0.038742138364779875,116.0,121.0,118.5
ssn-address_#days_since,0.055951718519025126,0.03870020964360587,112.0,120.0,116.0
dob_lag1_lag7_avg,0.11922135715452348,0.026834381551362682,170.0,60.0,115.0
name-homephone_#days_since,0.05604342956417077,0.038490566037735846,113.0,117.0,115.0
name-addr_#days_since,0.05559508146805757,0.03857442348008386,111.0,118.5,114.75
dob_lag1_lag14_avg,0.1193894637722937,0.02612159329140461,171.0,58.0,114.5
dob-addr-homephone_#days_since,0.05444147780826701,0.03857442348008386,110.0,118.5,114.25
name-dob-addr_lag14_count,0.04829025800849707,0.03882599580712788,103.0,122.5,112.75
name-addr-homephone_#days_since,0.05371361828281661,0.037945492662473795,106.0,115.0,110.5
ssn-addr_#days_since,0.05417701072213975,0.03786163522012578,108.0,112.0,110.0
name-dob-addr-homephone_#days_since,0.05437994145531454,0.037819706498951784,109.0,110.0,109.5
dob_lag1_lag30_avg,0.09982823758127246,0.0270020964360587,158.0,61.0,109.5
ssn-zip5_#days_since,0.054109639977544005,0.03786163522012578,107.0,112.0,109.5
homephone_lag1_lag3_avg,0.0968368598911705,0.026415094339622643,157.0,59.0,108.0
homephone_lag1_lag7_avg,0.10476417335863247,0.022976939203354297,160.0,56.0,108.0
name-dob-homephone_lag14_count,0.0475367796522288,0.038364779874213835,99.0,116.0,107.5
dob_lag1_lag3_avg,0.09211596832678944,0.02410901467505241,156.0,57.0,106.5
name-homephone_lag14_count,0.047291364511661826,0.03790356394129979,98.0,114.0,106.0
dob-homephone_lag14_count,0.04882411984486257,0.037568134171907755,105.0,107.0,106.0
dob-addr_lag14_count,0.048568311117719865,0.037526205450733756,104.0,105.5,104.75
name-addr_lag14_count,0.04779650997594853,0.03748427672955975,102.0,103.5,102.75
name-dob-addr_lag1_lag14_avg,0.04623776956512279,0.03786163522012578,93.0,112.0,102.5
ssn-homephone_lag14_count,0.04778155830562614,0.037148846960167715,101.0,101.0,101.0
ssn-address_lag14_count,0.04763997969081457,0.03740041928721174,100.0,102.0,101.0
dob-addr-homephone_lag14_count,0.04619610810186103,0.03777777777777778,92.0,109.0,100.5
name-addr-homephone_lag14_count,0.04588122518704274,0.03761006289308176,90.0,108.0,99.0
ssn-zip5_lag14_count,0.04644690427030507,0.03685534591194969,96.0,98.0,97.0
dob-homephone_lag1_lag14_avg,0.046600058995515725,0.03647798742138365,97.0,96.0,96.5
ssn-addr_lag14_count,0.046444078080592366,0.03681341719077568,95.0,97.0,96.0
name-dob-homephone_lag1_lag14_avg,0.04545621243513118,0.037526205450733756,86.0,105.5,95.75
ssn-address_lag1_lag14_avg,0.045465421275512154,0.03748427672955975,87.0,103.5,95.25
dob-addr_lag1_lag14_avg,0.04643769431873841,0.03643605870020964,94.0,95.0,94.5
homephone_lag1_lag14_avg,0.07514845379854196,0.02251572327044025,146.0,43.0,94.5
name-dob-addr-homephone_lag14_count,0.04612563759363286,0.03631027253668763,91.0,94.0,92.5
name-addr_lag1_lag14_avg,0.045719224534701154,0.036226415094339624,89.0,93.0,91.0
ssn-zip5_lag1_lag14_avg,0.04427234585500277,0.03693920335429769,82.0,99.5,90.75
name-dob-addr-homephone_lag1_lag14_avg,0.044211537550921776,0.03693920335429769,81.0,99.5,90.25
ssn-homephone_lag1_lag14_avg,0.04553680295601532,0.03614255765199161,88.0,92.0,90.0
name-homephone_lag1_lag14_avg,0.04514005321241642,0.03589098532494759,85.0,91.0,88.0
ssn-addr_lag1_lag14_avg,0.04435147694458681,0.035555555555555556,84.0,90.0,87.0
dob-addr-homephone_lag1_lag14_avg,0.04428583698283942,0.03547169811320755,83.0,89.0,86.0
name-addr-homephone_lag1_lag14_avg,0.04389127583059781,0.03526205450733753,80.0,88.0,84.0
dob-homephone_lag7_count,0.030274785801010395,0.029769392033542976,78.0,87.0,82.5
dob-addr_lag7_count,0.030331216922376836,0.029685534591194968,79.0,85.0,82.0
name-dob-addr_lag7_count,0.030191552213817197,0.029727463312368974,77.0,86.0,81.5
name-addr_lag7_count,0.030004300088650626,0.029559748427672956,76.0,84.0,80.0
name-dob-homephone_lag7_count,0.029689324500944858,0.02943396226415094,75.0,82.0,78.5
ssn-address_lag7_count,0.02961621092640765,0.029475890985324948,73.0,83.0,78.0
name-homephone_lag7_count,0.029624324359924348,0.029350104821802937,74.0,80.5,77.25
ssn-homephone_lag7_count,0.029561511699075282,0.029350104821802937,72.0,80.5,76.25
ssn-zip5_lag7_count,0.029064480779490864,0.02918238993710692,71.0,78.5,74.75
homephone_lag1_lag30_avg,0.05950960357021129,0.019664570230607966,119.0,28.0,73.5
ssn-addr_lag7_count,0.029022089044986155,0.02918238993710692,68.0,78.5,73.25
dob-addr-homephone_lag7_count,0.029026008419191784,0.029140461215932913,69.0,77.0,73.0
name-dob-addr-homephone_lag7_count,0.02903366626657089,0.02909853249475891,70.0,75.5,72.75
name-addr-homephone_lag7_count,0.028928827006838742,0.02909853249475891,67.0,75.5,71.25
dob-addr_lag1_lag7_avg,0.026720537438387554,0.027924528301886794,66.0,74.0,70.0
name-dob-addr_lag1_lag7_avg,0.02665900108543508,0.027882599580712788,65.0,73.0,69.0
dob-homephone_lag1_lag7_avg,0.02648487606366946,0.02779874213836478,64.0,71.5,67.75
name-addr_lag1_lag7_avg,0.026446951962395392,0.02779874213836478,63.0,71.5,67.25
ssn-address_lag1_lag7_avg,0.025962866133994025,0.027631027253668762,61.0,70.0,65.5
name-dob-homephone_lag1_lag7_avg,0.026041632087956623,0.027547169811320753,62.0,68.0,65.0
ssn-homephone_lag1_lag7_avg,0.02583796997235323,0.02758909853249476,59.0,69.0,64.0
name-homephone_lag1_lag7_avg,0.025905887864788292,0.02750524109014675,60.0,67.0,63.5
dob-addr-homephone_lag1_lag7_avg,0.025548612104279632,0.027463312368972745,57.0,66.0,61.5
name-dob-addr-homephone_lag1_lag7_avg,0.025552441027969185,0.027337526205450734,58.0,64.0,61.0
ssn-addr_lag1_lag7_avg,0.025449425223972755,0.027337526205450734,56.0,64.0,60.0
ssn-zip5_lag1_lag7_avg,0.02540985967918073,0.027337526205450734,55.0,64.0,59.5
name-addr-homephone_lag1_lag7_avg,0.025371752454503096,0.02729559748427673,54.0,62.0,58.0
name-addr_lag3_count,0.015261650908197644,0.02280922431865828,53.0,53.5,53.25
name-dob-addr_lag3_count,0.015159454714774645,0.022851153039832286,51.0,55.0,53.0
dob-addr_lag3_count,0.015231201530899185,0.02280922431865828,52.0,53.5,52.75
dob-homephone_lag3_count,0.01505580020123709,0.022767295597484277,50.0,52.0,51.0
ssn-address_lag3_count,0.014941479638389876,0.02268343815513627,49.0,50.0,49.5
name-dob-homephone_lag3_count,0.014860980679207492,0.02272536687631027,47.0,51.0,49.0
name-homephone_lag3_count,0.014902643253654979,0.022641509433962263,48.0,48.0,48.0
ssn-zip5_lag3_count,0.0148480355880245,0.022641509433962263,46.0,48.0,47.0
ssn-addr_lag3_count,0.014776288771899848,0.022641509433962263,45.0,48.0,46.5
ssn-homephone_lag3_count,0.014738728695061543,0.022557651991614257,44.0,45.0,44.5
name-dob-addr-homephone_lag3_count,0.01453698048571006,0.022557651991614257,42.0,45.0,43.5
dob-addr-homephone_lag3_count,0.014531875254124027,0.022557651991614257,41.0,45.0,43.0
name-addr-homephone_lag3_count,0.014592682447019278,0.02247379454926625,43.0,42.0,42.5
name-dob-addr_lag1_lag3_avg,0.010320965923150311,0.020419287211740043,39.0,41.0,40.0
name-addr_lag1_lag3_avg,0.010399641426596828,0.020377358490566037,40.0,39.5,39.75
dob-addr_lag1_lag3_avg,0.010314584383667728,0.020377358490566037,38.0,39.5,38.75
dob-homephone_lag1_lag3_avg,0.009959952800653888,0.020251572327044026,36.0,38.0,37.0
ssn-address_lag1_lag3_avg,0.009983473490630515,0.020167714884696018,37.0,36.0,36.5
name-dob-homephone_lag1_lag3_avg,0.009907350602977032,0.02020964360587002,35.0,37.0,36.0
ssn-addr_lag1_lag3_avg,0.009898963595540735,0.02012578616352201,34.0,33.0,33.5
ssn-zip5_lag1_lag3_avg,0.009888753132368599,0.02012578616352201,33.0,33.0,33.0
name-homephone_lag1_lag3_avg,0.009878269095276802,0.02012578616352201,32.0,33.0,32.5
name-dob-addr-homephone_lag1_lag3_avg,0.009749817583866123,0.02012578616352201,31.0,33.0,32.0
dob-addr-homephone_lag1_lag3_avg,0.009748541275969606,0.02012578616352201,30.0,33.0,31.5
name-addr-homephone_lag1_lag3_avg,0.009729670231441513,0.020041928721174003,29.0,29.5,29.25
ssn-homephone_lag1_lag3_avg,0.009709249305097242,0.020041928721174003,28.0,29.5,28.75
dob-homephone_lag1_count,0.0057910711797490855,0.01853249475890985,26.0,27.0,26.5
dob-addr_lag1_count,0.005700179745176781,0.01849056603773585,20.0,26.0,23.0
ssn-homephone_lag1_count,0.005725979477026799,0.018448637316561847,22.0,23.5,22.75
ssn-zip5_lag1_count,0.005742845053601231,0.01840670859538784,25.0,19.5,22.25
name-homephone_lag1_count,0.005720874245440655,0.018448637316561847,21.0,23.5,22.25
ssn-address_lag1_count,0.005741568745704639,0.01840670859538784,24.0,19.5,21.75
name-addr_lag1_count,0.005732634590429053,0.01840670859538784,23.0,19.5,21.25
name-dob-homephone_lag1_count,0.005650130163292966,0.018448637316561847,18.0,23.5,20.75
name-dob-addr_lag1_count,0.005622051389569616,0.018448637316561847,17.0,23.5,20.25
ssn-addr_lag1_count,0.005660887774304402,0.018364779874213838,19.0,16.0,17.5
name-dob-addr-homephone_lag1_count,0.005483662988906457,0.01840670859538784,15.0,19.5,17.25
name-addr-homephone_lag1_count,0.00555951230264029,0.018364779874213838,16.0,16.0,16.0
dob-addr-homephone_lag1_count,0.005479834065216904,0.018364779874213838,14.0,16.0,15.0
random,0.00949319457984149,0.01480083857442348,27.0,1.0,14.0
dob-homephone_lag0_count,0.001985937309351815,0.01681341719077568,13.0,12.5,12.75
ssn-address_lag0_count,0.0018580329457804634,0.01681341719077568,12.0,12.5,12.25
ssn-zip5_lag0_count,0.0018567566378838718,0.01681341719077568,11.0,12.5,11.75
name-addr_lag0_count,0.0018503750984013578,0.01681341719077568,10.0,12.5,11.25
name-dob-addr-homephone_lag0_count,0.0018258516744479314,0.016771488469601678,8.5,7.0,7.75
dob-addr-homephone_lag0_count,0.0018258516744479314,0.016771488469601678,8.5,7.0,7.75
name-dob-homephone_lag0_count,0.001820746442861787,0.016771488469601678,7.0,7.0,7.0
dob-addr_lag0_count,0.0018118122875862008,0.016771488469601678,5.0,7.0,6.0
name-addr-homephone_lag0_count,0.0017913913612419563,0.016771488469601678,3.0,7.0,5.0
name-homephone_lag0_count,0.0017824572059663701,0.016771488469601678,2.0,7.0,4.5
name-dob-addr_lag0_count,0.0018130885954826814,0.016729559748427672,6.0,2.5,4.25
ssn-addr_lag0_count,0.001773523050690673,0.016771488469601678,1.0,7.0,4.0
ssn-homephone_lag0_count,0.001792667669138437,0.016729559748427672,4.0,2.5,3.25
